Time,Temporada,Rodada,Posicao,Pontos,Vitoria,Derrota,Empate,Gols_pro,Gols_contra,Saldo_de_gols,Vitorias_consecutivas,Derrotas_consecutivas,Jogos_marcando,Jogos_sem_sofrer_gols
Bahia,2023,26,16,28,7,12,7,34,38,-4,1,0,1,-6
Vasco,2023,26,17,27,7,13,6,27,38,-11,0,0,-1,1
Goiás,2023,26,18,27,6,11,9,25,37,-12,0,1,2,-2
Coritiba,2023,26,19,20,5,16,5,29,54,-25,2,0,8,-1
América-MG,2023,26,20,18,4,16,6,29,54,-25,0,1,2,-4
Botafogo,2023,27,1,58,18,5,4,44,17,27,2,0,3,-4
Bragantino,2023,27,2,49,13,4,10,39,24,15,1,0,5,-3
Flamengo,2023,27,3,47,13,6,8,40,31,9,1,0,3,0
Grêmio,2023,27,4,44,13,9,5,43,37,6,0,2,4,-3
Palmeiras,2023,27,5,44,12,7,8,40,24,16,0,4,-1,-4
Athletico-PR,2023,27,6,44,12,7,8,40,31,9,1,0,2,-6
Atlético-MG,2023,27,7,43,12,8,7,32,21,11,1,0,7,0
Fortaleza,2023,27,8,42,12,9,6,33,27,6,0,1,-1,-7
Fluminense,2023,27,9,42,12,9,6,37,34,3,0,0,1,-3
Cuiabá,2023,27,10,36,10,11,6,29,30,-1,1,0,1,1
São Paulo,2023,27,11,35,9,10,8,31,29,2,0,1,-2,-5
Internacional,2023,27,12,32,8,11,8,23,32,-9,0,1,-1,-7
Corinthians,2023,27,13,32,7,9,11,33,35,-2,0,0,5,-3
Bahia,2023,27,14,31,8,12,7,35,38,-3,2,0,2,1
Cruzeiro,2023,27,15,31,7,10,10,24,24,0,0,1,-2,-2
Vasco,2023,27,16,30,8,13,6,28,38,-10,1,0,1,1
Santos,2023,27,17,30,8,13,6,30,45,-15,0,1,4,-18
Goiás,2023,27,18,30,7,11,9,27,37,-10,1,0,3,1
Coritiba,2023,27,19,20,5,17,5,29,57,-28,0,1,-1,-2
América-MG,2023,27,20,18,4,17,6,30,56,-26,0,2,3,-5
Botafogo,2023,28,1,59,18,5,5,45,18,27,0,0,4,-5
Bragantino,2023,28,2,52,14,4,10,40,24,16,2,0,6,1
Flamengo,2023,28,3,50,14,6,8,41,31,10,2,0,4,1
Palmeiras,2023,28,4,47,13,7,8,42,24,18,1,0,1,-3
Athletico-PR,2023,28,5,45,12,7,9,41,32,9,0,0,3,-7
Grêmio,2023,28,6,44,13,10,5,43,40,3,0,3,-1,-4
Atlético-MG,2023,28,7,43,12,9,7,32,22,10,0,1,-1,-1
Fortaleza,2023,28,8,42,12,10,6,33,29,4,0,2,-2,-8
Fluminense,2023,28,9,42,12,10,6,37,35,2,0,1,-1,-4
São Paulo,2023,28,10,38,10,10,8,34,29,5,1,0,1,1
Cuiabá,2023,28,11,37,10,11,7,30,31,-1,0,0,2,-1
Internacional,2023,28,12,35,9,11,8,30,33,-3,1,0,1,-8
Bahia,2023,28,13,34,9,12,7,37,38,-1,3,0,3,1
Cruzeiro,2023,28,14,34,8,10,10,25,24,1,1,0,1,-1
Corinthians,2023,28,15,33,7,9,12,34,36,-2,0,0,6,-4
Goiás,2023,28,16,31,7,11,10,28,38,-10,0,0,4,-1
Vasco,2023,28,17,30,8,14,6,28,39,-11,0,1,-1,-1
Santos,2023,28,18,30,8,14,6,31,52,-21,0,2,5,-19
Coritiba,2023,28,19,20,5,18,5,29,59,-30,0,2,-2,-3
América-MG,2023,28,20,19,4,17,7,31,57,-26,0,0,4,-6
Botafogo,2023,29,1,60,18,5,6,47,20,27,0,0,5,-6
Bragantino,2023,29,2,52,14,5,10,41,26,15,0,1,7,-1
Palmeiras,2023,29,3,50,14,7,8,47,24,23,2,0,2,1
Flamengo,2023,29,4,50,14,7,8,43,34,9,0,1,5,-1
Athletico-PR,2023,29,5,48,13,7,9,44,34,10,1,0,4,-8
Grêmio,2023,29,6,47,14,10,5,46,42,4,1,0,1,-5
Atlético-MG,2023,29,7,46,13,9,7,34,23,11,1,0,1,-2
Fluminense,2023,29,8,45,13,10,6,42,38,4,1,0,1,-5
Fortaleza,2023,29,9,43,12,10,7,35,31,4,0,0,1,-9
São Paulo,2023,29,10,38,10,11,8,34,34,0,0,1,-1,-1
Internacional,2023,29,11,38,10,11,8,32,34,-2,2,0,2,-9
Cuiabá,2023,29,12,37,10,12,7,30,32,-2,0,1,-1,-2
Cruzeiro,2023,29,13,37,9,10,10,28,24,4,2,0,2,1
Corinthians,2023,29,14,36,8,9,12,35,36,-1,1,0,7,-3
Bahia,2023,29,15,34,9,13,7,37,41,-4,0,1,-1,-1
Santos,2023,29,16,33,9,14,6,33,53,-20,1,0,6,-20
Goiás,2023,29,17,31,7,12,10,31,43,-12,0,1,5,-2
Vasco,2023,29,18,30,8,15,6,29,41,-12,0,2,1,-2
Coritiba,2023,29,19,20,5,19,5,30,61,-31,0,3,1,-4
América-MG,2023,29,20,19,4,18,7,33,60,-27,0,1,5,-7
Botafogo,2023,30,1,60,18,6,6,47,21,26,0,1,-1,-7
Palmeiras,2023,30,2,53,15,7,8,48,24,24,3,0,3,1
Flamengo,2023,30,3,53,15,7,8,44,34,10,1,0,6,1
Bragantino,2023,30,4,52,14,6,10,41,27,14,0,2,-1,-2
Grêmio,2023,30,5,50,15,10,5,50,45,5,2,0,2,-6
Atlético-MG,2023,30,6,49,14,9,7,36,23,13,2,0,2,1
Athletico-PR,2023,30,7,49,13,7,10,45,35,10,0,0,5,-9
Fluminense,2023,30,8,45,13,11,6,42,40,2,0,1,-1,-6
Fortaleza,2023,30,9,43,12,11,7,35,32,3,0,1,-1,-10
Cuiabá,2023,30,10,40,11,12,7,31,32,-1,1,0,1,-1
Cruzeiro,2023,30,11,40,10,10,10,29,24,5,3,0,3,1
São Paulo,2023,30,12,39,10,11,9,35,35,0,0,0,1,-2
Internacional,2023,30,13,38,10,12,8,35,38,-3,0,1,3,-10
Corinthians,2023,30,14,37,8,9,13,36,37,-1,0,0,8,-4
Bahia,2023,30,15,34,9,14,7,37,42,-5,0,2,-2,-2
Santos,2023,30,16,34,9,14,7,34,54,-20,0,0,7,-21
Goiás,2023,30,17,32,7,12,11,32,44,-12,0,0,6,-3
Vasco,2023,30,18,31,8,15,7,30,42,-12,0,0,2,-3
Coritiba,2023,30,19,23,6,19,5,34,64,-30,1,0,2,-5
América-MG,2023,30,20,19,4,19,7,36,64,-28,0,2,6,-8
Botafogo,2023,31,1,60,18,7,6,50,25,25,0,2,1,-8
Palmeiras,2023,31,2,56,16,7,8,52,27,25,4,0,4,-1
Bragantino,2023,31,3,55,15,6,10,43,27,16,1,0,1,-1
Grêmio,2023,31,4,53,16,10,5,52,46,6,3,0,3,-7
Flamengo,2023,31,5,53,15,8,8,45,36,9,0,1,7,-1
Atlético-MG,2023,31,6,52,15,9,7,39,24,15,3,0,3,-1
Athletico-PR,2023,31,7,49,13,8,10,45,36,9,0,1,-1,-10
Fluminense,2023,31,8,45,13,12,6,42,41,1,0,2,-2,-7
Fortaleza,2023,31,9,43,12,12,7,36,35,1,0,2,1,-11
São Paulo,2023,31,10,42,11,11,9,36,35,1,1,0,2,1
Cuiabá,2023,31,11,40,11,13,7,31,34,-3,0,1,-1,-2
Cruzeiro,2023,31,12,40,10,11,10,29,25,4,0,1,-1,-1
Corinthians,2023,31,13,40,9,9,13,37,37,0,1,0,9,1
Internacional,2023,31,14,39,10,12,9,36,39,-3,0,0,4,-11
Bahia,2023,31,15,37,10,14,7,38,42,-4,1,0,1,1
Santos,2023,31,16,37,10,14,7,36,55,-19,1,0,8,-22
Vasco,2023,31,17,34,9,15,7,32,42,-10,1,0,3,-2
Goiás,2023,31,18,32,7,13,11,32,46,-14,0,1,-1,-4
Coritiba,2023,31,19,23,6,20,5,35,66,-31,0,1,3,-6
América-MG,2023,31,20,20,4,19,8,37,65,-28,0,0,7,-9
Botafogo,2023,32,1,60,18,8,6,50,26,24,0,3,-1,-9
Palmeiras,2023,32,2,59,17,7,8,53,27,26,5,0,5,1
Bragantino,2023,32,3,58,16,6,10,44,27,17,2,0,2,1
Grêmio,2023,32,4,56,17,10,5,53,46,7,4,0,4,1
Flamengo,2023,32,5,56,16,8,8,47,36,11,1,0,8,0
Atlético-MG,2023,32,6,53,15,9,8,40,25,15,0,0,4,-2
Athletico-PR,2023,32,7,49,13,9,10,45,37,8,0,2,-2,-11
Fluminense,2023,32,8,48,14,12,6,43,41,2,1,0,1,1
Fortaleza,2023,32,9,43,12,13,7,36,37,-1,0,3,-1,-12
São Paulo,2023,32,10,42,11,12,9,36,36,0,0,1,-1,-1
Internacional,2023,32,11,42,11,12,9,38,40,-2,1,0,5,-12
Cuiabá,2023,32,12,41,11,13,8,31,34,-3,0,0,-2,-1
Cruzeiro,2023,32,13,40,10,12,10,30,27,3,0,2,1,-2
Corinthians,2023,32,14,40,9,10,13,37,38,-1,0,1,-1,-1
Santos,2023,32,15,38,10,14,8,36,55,-19,0,0,-1,1
Bahia,2023,32,16,37,10,15,7,38,43,-5,0,1,-1,-1
Vasco,2023,32,17,37,10,15,7,33,42,-9,2,0,4,1
Goiás,2023,32,18,35,8,13,11,33,46,-13,1,0,1,-3
Coritiba,2023,32,19,23,6,21,5,35,67,-32,0,2,-1,-7
América-MG,2023,32,20,21,4,19,9,38,66,-28,0,0,8,-10
Botafogo,2023,33,1,60,18,9,6,53,30,23,0,4,1,-10
Grêmio,2023,33,2,59,18,10,5,57,49,8,5,0,5,-1
Palmeiras,2023,33,3,59,17,8,8,53,30,23,0,1,-1,-1
Flamengo,2023,33,4,59,17,8,8,50,36,14,2,0,9,1
Bragantino,2023,33,5,58,16,7,10,44,28,16,0,1,-1,-1
Atlético-MG,2023,33,6,54,15,9,9,41,26,15,0,0,5,-3
Athletico-PR,2023,33,7,50,13,9,11,46,38,8,0,0,1,-12
Fluminense,2023,33,8,49,14,12,7,43,41,2,0,0,-1,1
São Paulo,2023,33,9,45,12,12,9,37,36,1,1,0,1,1
Cuiabá,2023,33,10,44,12,13,8,34,34,0,1,0,1,0
Fortaleza,2023,33,11,44,12,13,8,37,38,-1,0,0,1,-13
Internacional,2023,33,12,43,11,12,10,38,40,-2,0,0,-1,1
Santos,2023,33,13,41,11,14,8,37,55,-18,1,0,1,1
Cruzeiro,2023,33,14,41,10,12,11,32,29,3,0,0,2,-3
Corinthians,2023,33,15,41,9,10,14,38,39,-1,0,0,1,-2
Vasco,2023,33,16,38,10,15,8,35,44,-9,0,0,5,-1
Bahia,2023,33,17,37,10,16,7,38,46,-8,0,2,-2,-2
Goiás,2023,33,18,35,8,14,11,33,47,-14,0,1,-1,-4
Coritiba,2023,33,19,26,7,21,5,38,67,-29,1,0,1,-6
América-MG,2023,33,20,21,4,20,9,38,69,-31,0,1,-1,-11
Palmeiras,2023,34,1,62,18,8,8,56,30,26,1,0,1,1
Botafogo,2023,34,2,61,18,9,7,55,32,23,0,0,2,-11
Flamengo,2023,34,3,60,17,8,9,51,37,14,0,0,10,-1
Grêmio,2023,34,4,59,18,11,5,57,50,7,0,1,-1,-2
Bragantino,2023,34,5,59,16,7,11,46,30,16,0,0,1,-2
Atlético-MG,2023,34,6,57,16,9,9,43,27,16,1,0,6,-4
Athletico-PR,2023,34,7,51,13,9,12,47,39,8,0,0,2,-13
Fluminense,2023,34,8,50,14,12,8,44,42,2,0,0,1,-1
Cuiabá,2023,34,9,47,13,13,8,36,35,1,2,0,2,-1
São Paulo,2023,34,10,46,12,12,10,37,36,1,0,0,-1,1
Fortaleza,2023,34,11,44,12,14,8,38,40,-2,0,1,2,-14
Corinthians,2023,34,12,44,10,10,14,39,39,0,1,0,2,-1
Internacional,2023,34,13,43,11,13,10,38,43,-5,0,1,-2,-1
Santos,2023,34,14,42,11,14,9,37,55,-18,0,0,-1,1
Vasco,2023,34,15,41,11,15,8,37,45,-8,1,0,6,-2
Cruzeiro,2023,34,16,41,10,13,11,32,30,2,0,1,-1,-4
Bahia,2023,34,17,38,10,16,8,39,47,-8,0,0,1,-3
Goiás,2023,34,18,35,8,15,11,34,49,-15,0,2,1,-5
Coritiba,2023,34,19,29,8,21,5,39,67,-28,2,0,2,1
América-MG,2023,34,20,21,4,21,9,39,71,-32,0,2,1,-12
Palmeiras,2023,35,1,63,18,8,9,58,32,26,0,0,2,-1
Flamengo,2023,35,2,63,18,8,9,54,37,17,1,0,11,0
Botafogo,2023,35,3,62,18,9,8,56,33,23,0,0,3,-12
Atlético-MG,2023,35,4,60,17,9,9,46,27,19,2,0,7,1
Grêmio,2023,35,5,59,18,12,5,57,53,4,0,2,-2,-3
Bragantino,2023,35,6,59,16,8,11,46,31,15,0,1,-1,-3
Fluminense,2023,35,7,53,15,12,8,46,43,3,1,0,2,-2
Athletico-PR,2023,35,8,52,13,9,13,47,39,8,0,0,-1,1
Cuiabá,2023,35,9,48,13,13,9,36,35,1,0,0,-1,0
São Paulo,2023,35,10,47,12,12,11,37,36,1,0,0,-2,1
Internacional,2023,35,11,46,12,13,10,39,43,-4,1,0,1,1
Fortaleza,2023,35,12,45,12,14,9,40,42,-2,0,0,3,-15
Cruzeiro,2023,35,13,44,11,13,11,33,30,3,1,0,1,-3
Corinthians,2023,35,14,44,10,11,14,40,44,-4,0,1,3,-2
Santos,2023,35,15,43,11,14,10,38,56,-18,0,0,1,-1
Vasco,2023,35,16,42,11,15,9,37,45,-8,0,0,-1,-1
Bahia,2023,35,17,41,11,16,8,44,48,-4,1,0,2,-4
Goiás,2023,35,18,35,8,16,11,34,50,-16,0,3,-1,-6
Coritiba,2023,35,19,29,8,22,5,40,69,-29,0,1,3,-1
América-MG,2023,35,20,21,4,22,9,39,74,-35,0,3,-1,-13
Palmeiras,2023,36,1,66,19,8,9,62,32,30,1,0,3,1
Botafogo,2023,36,2,63,18,9,9,57,34,23,0,0,4,-13
Atlético-MG,2023,36,3,63,18,9,9,49,27,22,3,0,8,1
Flamengo,2023,36,4,63,18,9,9,54,40,14,0,1,-1,-1
Grêmio,2023,36,5,62,19,12,5,59,54,5,1,0,1,-4
Bragantino,2023,36,6,59,16,9,11,47,33,14,0,2,1,-4
Fluminense,2023,36,7,56,16,12,8,49,43,6,2,0,3,-1
Athletico-PR,2023,36,8,53,13,9,14,48,40,8,0,0,1,-1
São Paulo,2023,36,9,50,13,12,11,38,36,2,1,0,1,1
Internacional,2023,36,10,49,13,13,10,41,43,-2,2,0,2,1
Cuiabá,2023,36,11,48,13,14,9,36,37,-1,0,1,-2,-1
Fortaleza,2023,36,12,48,13,14,9,42,43,-1,1,0,4,-16
Corinthians,2023,36,13,47,11,11,14,44,46,-2,1,0,4,-3
Cruzeiro,2023,36,14,45,11,13,12,34,31,3,0,0,2,-4
Santos,2023,36,15,43,11,15,10,38,59,-21,0,1,-1,-2
Vasco,2023,36,16,42,11,16,9,39,49,-10,0,1,1,-2
Bahia,2023,36,17,41,11,17,8,44,49,-5,0,1,-1,-5
Goiás,2023,36,18,35,8,17,11,35,52,-17,0,4,1,-7
Coritiba,2023,36,19,30,8,22,6,41,70,-29,0,0,4,-2
América-MG,2023,36,20,21,4,23,9,39,78,-39,0,4,-2,-14
Palmeiras,2023,37,1,69,20,8,9,63,32,31,2,0,4,1
Atlético-MG,2023,37,2,66,19,9,9,51,28,23,4,0,9,-1
Flamengo,2023,37,3,66,19,9,9,56,41,15,1,0,1,-2
Grêmio,2023,37,4,65,20,12,5,60,54,6,2,0,2,1
Botafogo,2023,37,5,64,18,9,10,57,34,23,0,0,-1,1
Bragantino,2023,37,6,62,17,9,11,48,33,15,1,0,2,1
Fluminense,2023,37,7,56,16,13,8,49,44,5,0,1,-1,-2
Athletico-PR,2023,37,8,56,14,9,14,51,40,11,1,0,2,1
Internacional,2023,37,9,52,14,13,10,43,44,-1,3,0,3,-1
Fortaleza,2023,37,10,51,14,14,9,43,43,0,2,0,5,1
São Paulo,2023,37,11,50,13,13,11,39,38,1,0,1,2,-1
Cuiabá,2023,37,12,48,13,15,9,37,39,-2,0,2,1,-2
Corinthians,2023,37,13,47,11,12,14,45,48,-3,0,1,5,-4
Cruzeiro,2023,37,14,46,11,13,13,34,31,3,0,0,-1,-3
Santos,2023,37,15,43,11,16,10,38,62,-24,0,2,-2,-3
Vasco,2023,37,16,42,11,17,9,39,50,-11,0,2,-1,-3
Bahia,2023,37,17,41,11,18,8,46,52,-6,0,2,1,-6
Goiás,2023,37,18,35,8,18,11,35,53,-18,0,5,-1,-8
Coritiba,2023,37,19,30,8,23,6,41,71,-30,0,1,-1,-3
América-MG,2023,37,20,24,5,23,9,42,80,-38,1,0,1,-15
Palmeiras,2023,38,1,70,20,8,10,64,33,31,0,0,5,-1
Grêmio,2023,38,2,68,21,12,5,63,56,7,3,0,3,-1
Atlético-MG,2023,38,3,66,19,10,9,52,32,20,0,1,10,-2
Flamengo,2023,38,4,66,19,10,9,56,42,14,0,1,-1,-3
Botafogo,2023,38,5,64,18,10,10,58,37,21,0,1,1,-1
Bragantino,2023,38,6,62,17,10,11,49,35,14,0,1,3,-1
Fluminense,2023,38,7,56,16,14,8,51,47,4,0,2,1,-3
Athletico-PR,2023,38,8,56,14,10,14,51,43,8,0,1,-1,-1
Internacional,2023,38,9,55,15,13,10,46,45,1,4,0,4,-2
Fortaleza,2023,38,10,54,15,14,9,45,44,1,3,0,6,-1
São Paulo,2023,38,11,53,14,13,11,40,38,2,1,0,3,1
Cuiabá,2023,38,12,51,14,15,9,40,39,1,1,0,2,1
Corinthians,2023,38,13,50,12,12,14,47,48,-1,1,0,6,-3
Cruzeiro,2023,38,14,47,11,13,14,35,32,3,0,0,1,-4
Vasco,2023,38,15,45,12,17,9,41,51,-10,1,0,1,-4
Bahia,2023,38,16,44,12,18,8,50,53,-3,1,0,2,-7
Santos,2023,38,17,43,11,17,10,39,64,-25,0,3,1,-4
Goiás,2023,38,18,38,9,18,11,36,53,-17,1,0,1,1
Coritiba,2023,38,19,30,8,24,6,41,73,-32,0,2,-2,-4
América-MG,2023,38,20,24,5,24,9,42,81,-39,0,1,-1,-16
